beta_pub beta_grocery beta_cinema beta_commute_unit beta_commute_city_unit beta_hospital beta_care_home beta_company beta_school beta_household beta_university asymptomatic_ratio seed_strength social_distancing_beta_factor quarantine_household_compliance
0.394466 0.0641353 0.108097 0.39399999999999996 0.30094899999999997 0.28724 0.2429 0.27364 0.0649405 0.222109 0.372613 0.23818000000000003 0.665655 0.7107872423396641 0.8086718930627119
0.174702 0.0113292 0.15893 0.40530900000000003 0.166158 0.11074200000000001 0.482728 0.0503886 0.205181 0.0944315 0.0513135 0.284112 0.862609 0.8458790655349133 0.8871726967776997
0.265859 0.0375446 0.0193885 0.357204 0.474743 0.23069800000000001 0.718194 0.11438699999999999 0.149199 0.13564600000000002 0.221953 0.207087 0.942127 0.6973571220904086 0.8404028128582246
0.271571 0.0324674 0.193099 0.27159099999999997 0.0407713 0.28770100000000004 0.267998 0.136242 0.290168 0.109325 0.11775999999999999 0.300887 0.8956959999999999 0.7824724258580954 0.8918971293436166
0.33699 0.013200499999999999 0.042062999999999996 0.351671 0.0548956 0.298152 0.24826900000000002 0.378337 0.21075500000000003 0.07104529999999999 0.158133 0.28742 1.25127 0.82734989528157 0.8424505486625572
0.40962200000000004 0.016452200000000004 0.184121 0.344724 0.26439 0.44397200000000003 0.0959394 0.23550700000000002 0.19234400000000001 0.117622 0.323547 0.274968 0.902568 0.6989479827803672 0.9745551992069021
0.41311499999999995 0.0696818 0.175197 0.21879899999999997 0.141954 0.220371 0.48239499999999996 0.11947100000000001 0.264304 0.13227 0.0335935 0.237021 0.745707 0.7909918687438856 0.8551195109602593
0.18321199999999999 0.043599599999999995 0.178418 0.35065999999999997 0.428238 0.46354700000000004 0.255798 0.0740966 0.18382 0.369813 0.378664 0.33723600000000004 0.925868 0.7002663801456698 0.9341574336323321
0.297738 0.049542699999999995 0.229148 0.12286300000000001 0.300327 0.12021400000000002 0.335872 0.0738814 0.180232 0.176421 0.46997 0.37314899999999995 0.943357 0.7375021513768019 0.857495283898628
0.40034400000000003 0.0197805 0.13759000000000002 0.389936 0.145426 0.46220600000000006 0.330888 0.158924 0.167955 0.112298 0.28334000000000004 0.21290100000000003 1.1422299999999999 0.7443736773079987 0.8238763676915117
0.15861199999999998 0.0427779 0.07959680000000001 0.185168 0.212682 0.233337 0.8842610000000001 0.171242 0.15873800000000002 0.228672 0.058029399999999995 0.29017800000000005 0.848234 0.7847273294557483 0.9476477599511279
0.328235 0.0443767 0.171284 0.373979 0.22753299999999999 0.473339 0.538913 0.13907 0.203378 0.14465 0.159671 0.23907399999999998 0.555804 0.7692494966088366 0.9678648501867853
0.25135100000000005 0.0827505 0.167891 0.339692 0.08451 0.320831 0.913451 0.109497 0.185434 0.19198199999999999 0.387313 0.33413200000000004 0.941765 0.7838836398735903 0.9004011735781632
0.234585 0.07943689999999999 0.10669300000000001 0.123798 0.102046 0.36455 0.543697 0.11445599999999999 0.129104 0.289875 0.44554499999999997 0.2348 0.992763 0.6871563656805497 0.8212875315504464
0.236594 0.0160059 0.158348 0.08416760000000001 0.481991 0.0794691 0.37787 0.05542709999999999 0.253892 0.205375 0.0315038 0.280568 0.7344649999999999 0.7495320672004621 0.8597174097401512
0.123878 0.138266 0.117974 0.331984 0.238602 0.0929067 0.17802300000000001 0.14240799999999998 0.142871 0.313773 0.330903 0.339397 0.934343 0.728512240138314 0.8198967056147209
0.289865 0.0951122 0.07110169999999999 0.21104 0.485892 0.27718400000000004 0.5935229999999999 0.213128 0.17138499999999998 0.23196799999999998 0.496667 0.348315 0.573277 0.6753265764889758 0.8444247303713627
0.124748 0.014933000000000002 0.08976100000000001 0.11183599999999999 0.455575 0.33300100000000005 0.198852 0.062135199999999995 0.348082 0.169514 0.223281 0.256858 0.7519279999999999 0.6865811098288273 0.9083439165974966
0.395429 0.051464800000000005 0.174717 0.424246 0.177876 0.467588 0.6402770000000001 0.107927 0.097746 0.136899 0.030585900000000003 0.377707 1.0664799999999999 0.7589090281132443 0.9071822303557487
0.0489923 0.09084260000000001 0.043832800000000005 0.157274 0.333899 0.362113 0.9857049999999999 0.21768 0.259999 0.232069 0.438144 0.3716 0.573855 0.6501809995807225 0.8893941629433292
0.0732461 0.07809680000000001 0.0465852 0.334448 0.307343 0.0602052 0.715803 0.109753 0.136796 0.175928 0.359105 0.312717 1.0977299999999999 0.8239865811772134 0.882870354076354
0.224631 0.11053099999999999 0.10781500000000001 0.274675 0.275793 0.223885 0.58312 0.207379 0.11985799999999999 0.242313 0.328577 0.21033600000000002 0.7029479999999999 0.6581237241646173 0.9521028978491114
0.182231 0.0513804 0.151025 0.381747 0.313806 0.416976 0.27615700000000004 0.134102 0.197209 0.198192 0.401481 0.222656 0.96573 0.6635093841692267 0.9995647843089612
0.468297 0.0646419 0.19024100000000002 0.14136400000000002 0.126682 0.274483 0.206605 0.152792 0.0821468 0.337998 0.125817 0.366811 0.8944049999999999 0.71272529536494 0.8233906818680515
0.32046199999999997 0.0485542 0.22983499999999998 0.226496 0.175547 0.0847972 0.365406 0.24535 0.19645 0.140047 0.21413400000000002 0.258412 0.8012520000000001 0.827388373577885 0.987781146968534
0.07766289999999999 0.0258176 0.0672247 0.20686500000000002 0.31925 0.49056099999999997 0.228634 0.18021099999999998 0.292577 0.17019600000000001 0.309946 0.33515300000000003 0.951896 0.75162785335659 0.9272387712435224
0.39753299999999997 0.027560200000000003 0.178458 0.222094 0.13706300000000002 0.195545 0.572873 0.155756 0.0868471 0.22087199999999999 0.166857 0.391137 0.904832 0.7458046802410584 0.9588506527517272
0.354609 0.0727868 0.0491158 0.409474 0.392119 0.240375 0.356581 0.07665319999999999 0.12352 0.185621 0.291412 0.373283 1.2515 0.7390914847330372 0.9706326680362982
0.181999 0.013888900000000001 0.155999 0.11476199999999999 0.318265 0.058243600000000006 0.139482 0.305041 0.324504 0.10701400000000001 0.336024 0.33248099999999997 1.01331 0.8160721329680284 0.9315809034420361
0.345942 0.040467800000000005 0.08921660000000001 0.434209 0.309653 0.149862 0.23661300000000002 0.0558158 0.1661 0.27668899999999996 0.365356 0.302155 1.1941700000000002 0.794059314671772 0.9957958351481112
0.264391 0.0261949 0.168277 0.324886 0.41483400000000004 0.348903 0.397226 0.203702 0.12900699999999998 0.283215 0.334397 0.389178 0.805897 0.7163950666753186 0.8287165174065025
0.19950299999999999 0.0336354 0.11643099999999999 0.139376 0.464901 0.454549 0.64259 0.135154 0.23401599999999997 0.09662899999999999 0.204948 0.249629 0.996524 0.6642670164442288 0.981704921198698
0.212533 0.0319274 0.204922 0.241642 0.264904 0.0559754 0.12362200000000001 0.243754 0.217433 0.15087799999999998 0.426976 0.286003 1.26938 0.7714164337257483 0.8175377631160744
0.18144200000000002 0.034186 0.0437085 0.381299 0.36882600000000004 0.0910197 0.402453 0.232843 0.25649299999999997 0.117557 0.454862 0.29631399999999997 0.819192 0.6922361343734399 0.8339180164043573
0.139378 0.0770042 0.046379199999999995 0.131723 0.438783 0.37254699999999996 0.9791799999999999 0.18753499999999998 0.138843 0.324546 0.228118 0.30095900000000003 0.904866 0.7429335159125341 0.9553329284686323
0.42145299999999997 0.08145930000000001 0.088087 0.275917 0.28533000000000003 0.139193 0.284578 0.135508 0.112133 0.22986199999999998 0.195876 0.389011 0.9017940000000001 0.6797169448296438 0.8196128443861265
0.37351 0.0414903 0.21158400000000002 0.17398 0.260683 0.325342 0.245189 0.259914 0.053904999999999995 0.36141999999999996 0.365055 0.343426 0.692467 0.8117797401759603 0.911862000553613
0.379513 0.0165781 0.110845 0.0915855 0.109921 0.123779 0.102121 0.295074 0.0666583 0.156505 0.479775 0.311434 1.18215 0.6817426692240749 0.9923605956658648
0.350159 0.06117619999999999 0.245381 0.364215 0.355941 0.158849 0.380754 0.23165700000000003 0.118802 0.137883 0.260377 0.272971 0.987502 0.8303007519044378 0.9249421658075107
0.136697 0.06731039999999999 0.0934811 0.373235 0.178509 0.277208 0.549176 0.252186 0.201401 0.181895 0.32957600000000004 0.340645 0.766079 0.6510263992410106 0.9984912881879948
0.350835 0.0480275 0.224503 0.19287200000000002 0.429788 0.14857599999999999 0.259319 0.204981 0.179025 0.187038 0.38092800000000004 0.337251 0.712584 0.7981477203214475 0.8267775413231696
0.268908 0.032708999999999995 0.126476 0.21223499999999998 0.133468 0.428012 0.419918 0.385046 0.0803557 0.11498199999999999 0.36493400000000004 0.35677600000000004 1.16839 0.8478658905374197 0.9891958289717918
0.16020399999999999 0.05149630000000001 0.0874045 0.48109300000000005 0.10956800000000001 0.40333800000000003 0.289224 0.06929199999999999 0.35744000000000004 0.117244 0.22777199999999997 0.265042 1.16374 0.71857065331777 0.8298400951481617
0.391343 0.0337371 0.149726 0.285287 0.363315 0.31708600000000003 0.49520200000000003 0.19050799999999998 0.232276 0.08715360000000001 0.11886600000000001 0.293425 1.16421 0.7476194452773168 0.9091940718455399
